Receptor,SV40,CRE,Row,Column,TMA_30_luc,TMA_30_RL,TMA_30_norm,TMA_100_luc,TMA_100_RL,TMA_100_norm,TMA_300_luc,TMA_300_RL,TMA_300_norm,UseforRSM
17.5,1.5,26.875,,,4318,1386,3.115440115,6303,1417,4.448129852,9541,1618,5.896786156,y
17.5,1.5,30,,,5310,1329,3.995485327,8030,1380,5.81884058,10344,1813,5.705460563,y
17.5,2,17.5,,,2515,1735,1.449567723,3636,1834,1.982551799,4607,2316,1.989205527,y
17.5,2,20.625,,,3755,1901,1.97527617,4897,1819,2.692138538,5989,2695,2.222263451,y
17.5,2,23.75,,,3191,1822,1.751372119,4955,1862,2.661117078,5730,2450,2.33877551,y
17.5,2,26.875,,,3947,1716,2.30011655,6061,1761,3.441794435,7339,2583,2.841269841,y
17.5,2,30,,,4788,1798,2.662958843,6651,1985,3.350629723,8826,2485,3.551710262,y
17.5,2.5,17.5,,,2051,1987,1.032209361,3262,2330,1.4,3545,2683,1.321282147,y
17.5,2.5,20.625,,,3548,1906,1.861490031,4436,2154,2.059424327,6350,2455,2.586558045,y
17.5,2.5,23.75,,,3746,1915,1.95613577,6005,2156,2.785250464,7213,2390,3.017991632,y
17.5,2.5,26.875,,,3297,2059,1.601262749,5944,2120,2.803773585,7119,2578,2.761442979,y
17.5,2.5,30,,,4302,1913,2.248823837,6664,2125,3.136,7937,2835,2.799647266,y
17.5,3,17.5,,,2950,2272,1.298415493,4467,2452,1.82177814,5266,2759,1.908662559,y
17.5,3,20.625,,,2813,2396,1.174040067,4061,2369,1.714225412,5040,3013,1.672751411,y
17.5,3,23.75,,,3490,2443,1.428571429,4771,2650,1.800377358,5760,3257,1.768498618,y
17.5,3,26.875,,,3616,2350,1.538723404,5097,2935,1.736626917,6242,3059,2.040536123,y
17.5,3,30,,,3998,1964,2.035641548,5932,1936,3.064049587,7770,2548,3.049450549,y
5,5,10,,,2319,3410,0.680058651,4236,3881,1.09147127,6789,4554,1.490777339,n
5,5,10,,,2165,3309,0.654276216,4518,3732,1.210610932,7172,4490,1.597327394,n
5,5,10,,,2384,3097,0.769777204,4008,3260,1.229447853,5382,4533,1.187293183,n
5,5,10,,,1379,3183,0.433239083,3077,3449,0.89214265,4523,4708,0.960705183,n
5,5,10,,,2112,3504,0.602739726,3764,3778,0.996294336,5238,4703,1.113757176,n
5,5,10,,,2276,3536,0.643665158,3875,3629,1.067787269,5435,5080,1.06988189,n
5,5,10,,,2330,3717,0.62684961,3740,3722,1.00483611,5812,4633,1.254478739,n
15,1,17.5,,,2586,1230,2.102439024,4327,1527,2.833660773,6348,2120,2.994339623,y
15,1,20.625,,,4298,1465,2.933788396,6770,1632,4.148284314,9241,2084,4.434261036,y
15,1,23.75,,,3883,1558,2.492297818,6001,1747,3.435031483,8371,2071,4.042008691,y
15,1,26.875,,,4058,1476,2.749322493,7034,1793,3.923034021,8739,2076,4.209537572,y
15,1,30,,,5038,1502,3.354194407,7186,1620,4.435802469,9287,2154,4.311513463,y
15,1.5,17.5,,,2963,1913,1.548876111,4417,2410,1.832780083,5865,2914,2.012697323,y
15,1.5,20.625,,,3782,2135,1.771428571,5361,2198,2.439035487,5393,2851,1.891616976,y
15,1.5,23.75,,,3837,2188,1.753656307,6165,2412,2.555970149,6569,2884,2.277739251,y
15,1.5,26.875,,,5072,1803,2.813089296,7363,2000,3.6815,8699,2458,3.539056143,y
15,1.5,30,,,4931,1794,2.748606466,7490,1899,3.944181148,9991,2356,4.240662139,y
15,2,17.5,,,2804,2078,1.349374398,4751,2266,2.096646072,5652,2968,1.904312668,y
15,2,20.625,,,3148,2381,1.322133557,5344,2397,2.229453484,6725,2973,2.262024891,y
15,2,23.75,,,3535,2241,1.577420794,5763,2287,2.519895059,7427,3004,2.472370173,y
15,2,26.875,,,4180,2204,1.896551724,5767,2178,2.647842057,7284,2981,2.443475344,y
15,2,30,,,4345,2296,1.892421603,6391,2484,2.572866345,6758,3147,2.147442008,y
15,2.5,17.5,,,2353,2769,0.849765258,3347,2971,1.126556715,4162,3281,1.268515696,y
15,2.5,20.625,,,3693,2147,1.720074523,5145,2723,1.889460154,8043,3144,2.558206107,y
15,2.5,23.75,,,3367,2280,1.476754386,5314,2562,2.074160812,6635,2869,2.312652492,y
15,2.5,26.875,,,4104,2387,1.719312945,6179,2639,2.341417203,7688,3049,2.521482453,y
15,2.5,30,,,4002,2288,1.749125874,5854,2422,2.417010735,7884,3020,2.610596026,y
15,3,17.5,,,2547,2811,0.906083244,3455,2917,1.184436064,4443,3475,1.278561151,y
15,3,20.625,,,2934,2886,1.016632017,4851,3148,1.540978399,5780,3821,1.512693012,y
15,3,23.75,,,3646,2462,1.480909829,4844,2878,1.683113273,5915,3702,1.597784981,y
15,3,26.875,,,4707,2825,1.66619469,6792,3170,2.142586751,7615,3843,1.98152485,y
15,3,30,,,4473,2781,1.608414239,6720,2932,2.291950887,8236,3388,2.430932704,y
5,5,10,,,540,3952,0.136639676,602,4071,0.147875215,757,5501,0.137611343,n
5,5,10,,,1986,3707,0.535743189,3797,3979,0.954259864,5554,4812,1.154197839,n
5,5,10,,,1967,4064,0.484005906,3696,4140,0.892753623,5972,5249,1.137740522,n
5,5,10,,,1847,4097,0.450817671,3716,4148,0.895853423,5162,4944,1.044093851,n
5,5,10,,,1641,3900,0.420769231,3267,4219,0.774354112,5186,5039,1.029172455,n
5,5,10,,,1888,4117,0.458586349,3693,4269,0.865073788,5402,5229,1.03308472,n
5,5,10,,,2038,3499,0.582452129,3375,4017,0.840179238,5373,4865,1.104419322,n
17.5,1,17.5,,,3062,1369,2.236669102,4242,1456,2.913461538,5594,1856,3.014008621,y
17.5,1,20.625,,,3368,1277,2.63743148,5261,1283,4.100545596,6622,1729,3.829959514,y
17.5,1,23.75,,,3630,1408,2.578125,5444,1545,3.523624595,6706,1727,3.883034163,y
17.5,1,26.875,,,3479,1288,2.701086957,6283,1490,4.216778523,7668,1731,4.429809359,y
17.5,1,30,,,4357,1324,3.290785498,6197,1519,4.07965767,8004,1780,4.496629213,y
17.5,1.5,17.5,,,2277,1840,1.2375,3793,1973,1.922453117,4634,2191,2.115015974,y
17.5,1.5,20.625,,,4499,1792,2.510602679,6941,1953,3.554019457,9077,2174,4.17525299,y
17.5,1.5,23.75,,,3354,2147,1.562179786,4027,2521,1.597381991,6033,2573,2.344733774,y
17.5,1.5,26.875,,,4368,1534,2.847457627,6495,1668,3.893884892,7866,2006,3.921236291,y
17.5,1.5,30,,,4984,1471,3.388171312,7392,1707,4.330404218,10505,2122,4.950518379,y
17.5,2,17.5,,,1954,1967,0.993390951,3481,2105,1.65368171,4302,2339,1.839247542,y
17.5,2,20.625,,,2994,1837,1.629831247,4620,2099,2.201048118,5961,2406,2.47755611,y
17.5,2,23.75,,,3403,1968,1.729166667,4537,2082,2.179154659,5976,2571,2.324387398,y
17.5,2,26.875,,,3457,1978,1.747724975,6033,2068,2.917311412,7261,2737,2.65290464,y
17.5,2,30,,,4440,1972,2.251521298,6545,2197,2.979062358,8265,2822,2.928773919,y
17.5,2.5,17.5,,,2093,2554,0.819498825,3063,2697,1.13570634,3123,3037,1.028317419,y
17.5,2.5,20.625,,,3171,2038,1.555937193,4007,2423,1.653735039,5472,2739,1.997809419,y
17.5,2.5,23.75,,,3776,2136,1.767790262,5665,2669,2.122517797,7129,2784,2.560704023,y
17.5,2.5,26.875,,,3053,2219,1.375844975,5274,2542,2.074744296,6816,2748,2.480349345,y
17.5,2.5,30,,,4012,2151,1.865178987,6319,2350,2.68893617,8600,2610,3.295019157,y
17.5,3,17.5,,,2549,2719,0.937477014,4114,3008,1.36768617,5102,3236,1.576637824,y
17.5,3,20.625,,,2821,2514,1.12211615,4182,3091,1.352960207,4879,3540,1.378248588,y
17.5,3,23.75,,,2986,2968,1.00606469,4672,3133,1.49122247,4896,3314,1.477368739,y
17.5,3,26.875,,,3406,2850,1.195087719,4661,3265,1.427565084,5952,3229,1.843295138,y
17.5,3,30,,,3563,2062,1.727934045,5822,2458,2.368592352,7022,2550,2.75372549,y
5,5,10,,,2432,3454,0.704111175,4663,4168,1.118761996,6159,4377,1.40712817,n
5,5,10,,,2553,3648,0.699835526,3957,4040,0.979455446,6746,4893,1.378704271,n
5,5,10,,,2070,3485,0.593974175,3901,4331,0.90071577,6104,4834,1.262722383,n
5,5,10,,,1504,3704,0.406047516,2805,3836,0.731230448,4862,4876,0.997128794,n
5,5,10,,,2141,3764,0.568809777,3376,4923,0.685760715,4394,5231,0.839992353,n
5,5,10,,,2184,3861,0.565656566,4200,4151,1.011804384,4679,5108,0.916014096,n
5,5,10,,,2284,3616,0.631637168,3779,4453,0.848641365,3885,4562,0.851600175,n
