Row,Column,Receptor,SV40,CRE,TMA_30_luc,TMA_30_RL,TMA_30_norm,TMA_100_luc,TMA_100_RL,TMA_100_norm,TMA_300_luc,TMA_300_RL,TMA_300_norm
G,4,20,10,10,1000,5078,0.196927924,1304,4691,0.277979109,1731,4490,0.385523385
H,4,20,10,15,1271,6064,0.209597625,2617,5200,0.503269231,2431,5408,0.449519231
A,5,20,10,20,1596,6961,0.229277403,3727,5266,0.707747816,4074,5032,0.809618442
B,5,20,15,10,1005,10041,0.100089633,1750,8047,0.21747235,2194,7760,0.282731959
C,5,20,15,15,1244,8275,0.150332326,2324,7214,0.322151372,2708,6822,0.396951041
D,5,20,15,20,1899,8574,0.221483555,2944,7624,0.386149003,4006,7533,0.531793442
E,5,25,2.5,10,657,1657,0.396499698,1092,1472,0.741847826,1447,1342,1.078241431
F,5,25,2.5,15,830,2033,0.40826365,1350,1778,0.75928009,1791,1799,0.995553085
G,5,25,2.5,20,1939,2149,0.90228013,3029,2174,1.393284269,4046,1867,2.167113016
H,5,25,5,10,707,2548,0.277472527,1033,2676,0.386023916,1476,2597,0.568348094
A,6,25,5,15,989,3425,0.288759124,1852,2840,0.652112676,2415,2485,0.971830986
B,6,25,5,20,1403,2809,0.499466002,2774,2008,1.381474104,3705,1981,1.870267542
C,6,25,10,10,613,6108,0.100360183,1209,5067,0.238602724,1214,4887,0.24841416
D,6,25,10,15,1221,5117,0.238616377,1890,4112,0.45963035,2399,4113,0.58327255
E,6,25,10,20,1778,5503,0.323096493,2639,4623,0.570841445,3160,4678,0.675502351
F,6,25,15,10,764,8398,0.090974041,1199,7188,0.166805787,1412,6766,0.208690511
G,6,25,15,15,1230,8752,0.140539305,2048,7515,0.272521623,2324,7257,0.320242524
H,6,25,15,20,1818,8142,0.223286662,2553,7447,0.342822613,3128,7497,0.41723356
A,7,10,2.5,10,1225,3939,0.310992638,2380,3230,0.736842105,3430,3402,1.008230453
B,7,10,2.5,15,2173,3230,0.672755418,3853,2472,1.558656958,3910,2674,1.462228871
C,7,10,2.5,20,3347,2296,1.457752613,5690,1684,3.378859857,8071,2017,4.001487357
D,7,10,5,10,1405,5782,0.242995503,2615,4729,0.55297103,3757,5087,0.738549243
E,7,10,5,15,2424,4201,0.577005475,4614,3200,1.441875,5267,3730,1.412064343
F,7,10,5,20,2886,3791,0.761276708,5457,3371,1.618807476,7247,3340,2.169760479
G,7,10,10,10,1335,7156,0.186556736,2534,6361,0.398365037,2646,7203,0.367346939
H,7,10,10,15,2025,8019,0.252525253,3735,7225,0.516955017,4733,7242,0.653548743
A,8,10,10,20,2719,8585,0.316715201,5070,6621,0.765745356,6666,7553,0.88256322
B,8,10,15,10,1176,11836,0.099357891,2303,10866,0.211945518,2208,12398,0.178093241
C,8,10,15,15,2335,11111,0.210152102,4246,9901,0.428845571,3492,11746,0.297292695
D,8,10,15,20,3270,9813,0.333231428,5193,9419,0.551332413,6329,9792,0.646343954
E,8,15,2.5,10,1490,2965,0.502529511,2636,2551,1.033320267,3057,2808,1.088675214
F,8,15,2.5,15,2082,2152,0.967472119,3759,1930,1.947668394,4843,2184,2.217490842
G,8,15,2.5,20,2949,1585,1.860567823,5165,1481,3.48750844,5217,1510,3.454966887
H,8,15,5,10,1075,3708,0.2899137,1821,3839,0.474342277,1638,3440,0.476162791
A,9,15,5,15,1423,4806,0.296088223,3723,4128,0.901889535,2581,4184,0.616873805
B,9,15,5,20,2195,2950,0.744067797,4535,2407,1.884088076,5510,2670,2.063670412
C,9,15,10,10,969,6737,0.143832566,1614,5849,0.275944606,2714,6194,0.438165967
D,9,15,10,15,1786,7083,0.252153042,3112,6149,0.506098553,3829,6718,0.569961298
E,9,15,10,20,2289,6725,0.340371747,4666,5731,0.814168557,5088,6249,0.814210274
F,9,15,15,10,974,9123,0.106763126,1904,8920,0.213452915,2666,9380,0.284221748
G,9,15,15,15,1990,9409,0.211499628,3321,8931,0.371850857,4349,9017,0.48231119
H,9,15,15,20,2515,8886,0.283029485,3754,8784,0.427367942,4922,8953,0.549759857
A,10,20,2.5,10,984,2502,0.393285372,2070,2045,1.012224939,2310,1966,1.174974568
B,10,20,2.5,15,1611,2078,0.775264678,2794,1496,1.867647059,3422,1788,1.913870246
C,10,20,2.5,20,2574,1648,1.561893204,4477,1240,3.610483871,5088,1491,3.412474849
D,10,20,5,10,847,3544,0.238995485,1475,3038,0.485516787,1963,3369,0.582665479
E,10,20,5,15,1258,2587,0.486277542,3089,2696,1.145771513,4640,2759,1.681768757
F,10,20,5,20,2137,2168,0.985701107,4182,2340,1.787179487,6074,2190,2.773515982
G,10,20,10,10,908,5552,0.163544669,1195,5199,0.229851895,1820,5379,0.338352854
H,10,20,10,15,1372,6125,0.224,2265,6159,0.367754506,3051,5911,0.516156319
A,11,20,10,20,1267,7480,0.169385027,3713,5868,0.63275392,4545,5699,0.797508335
B,11,20,15,10,841,10719,0.078458811,1538,8350,0.184191617,1899,8821,0.215281714
C,11,20,15,15,1212,8962,0.13523767,2137,7805,0.273798847,3160,7488,0.422008547
D,11,20,15,20,1877,8780,0.213781321,3372,7887,0.427538988,4145,7785,0.532434168
E,11,25,2.5,10,587,2020,0.290594059,1119,1484,0.754043127,1613,1381,1.167994207
F,11,25,2.5,15,744,2197,0.338643605,1189,2161,0.550208237,1694,1930,0.877720207
G,11,25,2.5,20,1752,2496,0.701923077,3027,2297,1.317805834,4176,2026,2.061204344
H,11,25,5,10,612,3062,0.199869366,934,2949,0.316717531,1117,3141,0.35561923
A,12,25,5,15,989,3425,0.288759124,1854,2628,0.705479452,1870,3023,0.618590804
B,12,25,5,20,1222,3058,0.399607587,2660,2075,1.281927711,1143,2268,0.503968254
C,12,25,10,10,573,6203,0.092374657,836,5482,0.152499088,1296,6113,0.212007198
D,12,25,10,15,1024,5059,0.202411544,1932,4718,0.409495549,2494,4724,0.527942422
E,12,25,10,20,1687,5931,0.2844377,2701,4719,0.572367027,3172,5094,0.622693365
F,12,25,15,10,702,8353,0.084041662,1163,8277,0.140509847,1432,8621,0.16610602
G,12,25,15,15,1279,8144,0.157048134,1922,7805,0.246252402,2296,7639,0.300562901
H,12,25,15,20,1527,7770,0.196525097,2364,7938,0.297808012,3504,7257,0.48284415
